Cost Center,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
287,8,6,1,6,6,6,6,6,6,6,6,6,7,6,1,1,6,3,7,12,4,4,4,5,5,4
417,8,7,5,6,6,6,6,6,6,6,6,6,7,7,5,6,6,6,7,8,5,5,5,5,5,5
445,6,5,4,5,5,6,6,6,6,6,6,6,15,15,15,16,15,15,17,15,13,14,13,14,14,14
565,5,5,5,6,6,6,6,6,6,6,6,6,4,37,21,2,3,2,6,5,37,37,37,38,38,38
546,4,6,5,7,6,6,6,6,6,6,6,8,7,11,1,1,11,11,9,6,8,8,8,9,8,8
403,7,6,6,7,8,6,6,6,7,7,7,7,6,6,6,8,6,6,7,6,5,5,5,5,6,5
25,7,2,7,4,4,5,6,6,7,13,8,11,6,2,7,1,2,7,4,5,5,5,5,8,8,8
346,6,9,5,1,1,6,6,6,8,6,6,6,5,9,5,7,,,,,5,7,4,8,8,5
347,4,4,5,5,6,7,6,6,8,7,7,9,3,4,5,7,5,5,5,4,6,6,6,6,6,6
641,6,8,11,,5,5,5,6,13,6,5,5,5,8,11,4,7,5,2,6,4,4,4,4,4,4
656,5,5,5,5,5,7,7,7,7,5,5,5,24,3,31,3,32,27,28,31,4,4,4,4,4,4
668,6,5,6,6,6,7,7,7,7,6,6,6,55,68,71,68,7,69,71,71,4,4,4,5,5,5
42,2,2,2,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,5,5,5,5,5,5
669,,,,,,,7,7,7,7,7,7,6,6,7,7,7,7,7,7,5,5,5,5,6,5
554,7,1,7,7,7,7,7,7,7,7,7,7,6,1,7,6,6,6,6,7,5,5,5,6,6,5
501,7,7,8,7,7,7,7,7,7,7,7,7,6,7,8,7,6,5,4,6,5,5,6,6,6,6
390,8,6,6,7,7,9,7,7,7,7,7,7,7,6,6,8,7,7,7,8,6,6,6,6,6,7
331,1,8,8,8,7,7,7,7,7,7,7,7,8,8,8,8,8,7,7,7,6,6,6,6,6,6
552,1,8,9,7,7,7,7,7,7,7,7,7,9,8,9,8,9,9,7,9,6,6,6,7,7,7
549,7,7,6,8,6,6,6,7,7,7,7,7,16,21,19,21,21,21,21,21,21,21,21,21,21,21
551,7,7,6,7,7,7,7,7,7,7,7,7,22,26,28,27,28,26,25,28,24,24,24,24,24,24
428,7,7,5,7,6,6,5,7,7,7,7,7,41,51,47,,5,9,8,6,5,6,6,6,6,6
231,7,7,7,7,7,7,7,7,8,8,8,8,6,7,7,7,7,7,8,7,6,6,6,6,7,6
604,4,5,4,7,6,6,7,8,8,7,7,7,3,5,4,,4,5,,3,6,5,6,6,6,6
584,5,4,7,6,7,7,6,8,8,7,7,13,4,4,7,2,8,7,7,6,6,6,6,7,7,7
